draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
3642,992.8713453863463,0.9798101902528966,0.003564376648405653,9.0,1023.0,0.0,-989.470151324891,-2.654761335183193,0.010665843068073274,0.08263546577027588
3643,993.9089841598067,0.9478891812020583,0.004799396755511533,9.0,1023.0,0.0,-992.7299312860465,-2.4029246235891626,0.009870331088328415,0.08333541230301533
3644,993.8893573649412,0.9753592926843099,0.004116071977974781,6.0,83.0,0.0,-992.7525590932137,-2.4917751534971555,0.010149834878812242,0.08069073511344287
3645,993.5726271895797,0.9948255026193609,0.0034207472301264106,2.0,3.0,0.0,-993.5588431409591,-2.366667233496963,0.009754834102864027,0.08277087984624322
3646,992.6787918869479,0.9967968048198577,0.003564376648405653,10.0,1023.0,0.0,-992.0614786777877,-2.304406676363238,0.009561906234552817,0.08169091983307909
3647,993.7631904776149,0.9830018655199038,0.004799396755511533,8.0,511.0,0.0,-991.0681546814667,-2.478958976690796,0.01011970072304321,0.08050188019521591
3648,993.8508904934371,0.9349547042705161,0.004116071977974781,10.0,1023.0,0.0,-993.0575139245136,-2.4469387438336754,0.010015906747072626,0.0848653513316787
3649,991.511797535709,0.9173268086702521,0.0034207472301264106,10.0,1023.0,0.0,-989.981905547385,-2.470521115368751,0.01008202820754844,0.0770267395210254
3650,993.705703538853,0.9982250599262792,0.003564376648405653,9.0,827.0,0.0,-990.0639400457387,-2.5841456246585235,0.010445943951284703,0.08390308457754599
3651,992.249318086848,0.8714499892428614,0.004799396755511533,9.0,511.0,0.0,-991.8064455476504,-2.626622802372899,0.01059459749430211,0.08114864376683653
3652,994.0112682969259,0.9972254950213301,0.004116071977974781,9.0,1023.0,0.0,-993.350793656287,-2.5470063636663034,0.010324622496699278,0.08321078844332935
3653,987.6676772755708,0.424790800039993,0.0034207472301264106,2.0,3.0,0.0,-986.9124452157027,-2.469897199609379,0.010115654295420185,0.07701978657708873
3654,994.2302449223876,0.9805621515469484,0.003564376648405653,9.0,607.0,0.0,-992.4107669116564,-2.4555296526792496,0.010039965918728954,0.08239667591011404
3655,993.0401734047452,0.9788940335996248,0.004799396755511533,10.0,1023.0,0.0,-990.6166654559638,-2.5699843950743,0.010390231469716668,0.08540349796441163
3656,993.518911016603,0.9999863963913139,0.004116071977974781,8.0,511.0,0.0,-993.2656268825925,-2.5866780114547043,0.010456735520322967,0.08455026660494805
3657,987.6630231255928,0.999209464681643,0.0034207472301264106,2.0,3.0,0.0,-987.3938893303506,-2.469527238195483,0.010053349672624593,0.0770254774085797
3658,993.7904923721717,0.8952354642999633,0.003564376648405653,2.0,3.0,0.0,-993.6031099947633,-2.455665357864776,0.010029274483839697,0.08239559732779839
3659,993.7682088980437,0.9886142365079694,0.004799396755511533,10.0,1023.0,0.0,-991.4299270478922,-2.4268457205232314,0.009953187500011272,0.08074156606935402
3660,993.2608044027537,0.9949624083455615,0.004116071977974781,7.0,219.0,0.0,-992.8461926677575,-2.6027945888714705,0.010500134151418015,0.08480248314998175
3661,990.1132030518085,1.0,0.0034207472301264106,2.0,7.0,0.0,-987.7633813536479,-2.469793075112143,0.010065936234847422,0.07702164553184113
3662,993.3880742644611,0.9724579136257947,0.003564376648405653,8.0,387.0,0.0,-992.4072486029098,-2.4413418615598843,0.009980895676881646,0.08181462883367636
3663,994.1927822401909,0.9083093787978149,0.004799396755511533,8.0,347.0,0.0,-993.2446813833075,-2.4992454662362964,0.010181933131157816,0.0825595593345235
3664,992.8829299628691,0.9376084986377738,0.004116071977974781,4.0,23.0,0.0,-992.7275816185945,-2.6035026858180834,0.01049557769775732,0.08481211834781244
3665,990.9568857533258,0.9995992432060384,0.0034207472301264106,5.0,43.0,0.0,-989.8322506039332,-2.4697431193825543,0.010098132112938868,0.07713698125019197
3666,993.3672851435515,0.998065663834297,0.003564376648405653,2.0,7.0,0.0,-993.278810279093,-2.4410526916652326,0.010008369337687388,0.08182333030907578
3667,994.2167478393204,0.321390963791285,0.004799396755511533,7.0,187.0,0.0,-988.0704378189205,-2.471221810268335,0.01009276977776431,0.08246085575927035
3668,992.7113012648356,0.9202855960884819,0.004116071977974781,8.0,263.0,0.0,-991.6109245698942,-2.562604686067755,0.01039623570697382,0.08327402949076837
3669,991.7110299843634,0.9791144411349758,0.0034207472301264106,2.0,3.0,0.0,-990.7589060365186,-2.470008271180986,0.010087533013713013,0.07713968877396121
3670,993.3672851435515,0.6194574815839676,0.003564376648405653,1.0,3.0,0.0,-989.8532023535138,-2.4410526916652326,0.010008369337687388,0.08182333030907578
3671,993.8368422412781,0.9734933244524977,0.004799396755511533,9.0,767.0,0.0,-993.0546908048167,-2.4162060894805504,0.009908343119925944,0.0834447367668733
3672,992.9778922209622,0.9993417860892873,0.004116071977974781,8.0,415.0,0.0,-991.734048524919,-2.4641915549182403,0.010085631862560441,0.0834693350809743
3673,991.0430179088188,0.9998777468507959,0.0034207472301264106,9.0,511.0,0.0,-990.7848248012456,-2.49929401969714,0.010176492873400866,0.07648972974546749
3674,993.4858779021806,0.9311339545365245,0.003564376648405653,2.0,3.0,0.0,-992.4632461225839,-2.441483949449211,0.009982303074746993,0.08181091959653325
3675,993.5269600985088,0.8649573432204681,0.004799396755511533,8.0,319.0,0.0,-992.0044357651991,-2.3616683478943066,0.009745086787891159,0.08370169506570968
3676,993.0505177126043,0.966419258564059,0.004116071977974781,8.0,503.0,0.0,-990.8139337525665,-2.481901990268592,0.010119147638775926,0.0788649040674759
3677,991.4949171911721,0.8691375988859957,0.0034207472301264106,9.0,511.0,0.0,-988.881438980817,-2.4226737101666056,0.009920055416715756,0.07830992666066514
3678,993.7091557429079,0.756016560394661,0.003564376648405653,8.0,503.0,0.0,-990.2109841404166,-2.435354458207363,0.009969029184503483,0.08084147152953881
